10000
1000
0,432
0,433
0,470
0,471
0,483
0,484
0,742
0,743
0,1702
0,1703
0,2066
0,2067
0,2105
0,2106
0,2182
0,2208
0,2209
0,2418
0,2419
0,2524
0,2525
0,2889
0,2890
0,2931
0,2932
0,2972
0,3319
0,3320
0,4790
0,4791
0,4828
0,4829
1,432
1,433
1,470
1,471
1,483
1,484
1,647
1,648
1,742
1,743
1,1118
1,1119
1,1128
1,1702
1,1703
1,2066
1,2067
1,2105
1,2106
1,2181
1,2183
1,2190
1,2191
1,2208
1,2209
1,2351
1,2352
1,2418
1,2419
1,2524
1,2525
1,2888
1,2890
1,2931
1,2932
1,2971
1,2973
1,3319
1,3320
1,3966
1,4441
1,4442
1,4790
1,4791
1,4828
1,4829
2,344
2,345
2,518
2,647
2,648
2,1118
2,1119
2,1127
2,1129
2,2182
2,2190
2,2191
2,2351
2,2352
2,2888
2,2889
2,2972
2,3965
2,3967
2,4441
2,4442
3,344
3,345
3,517
3,519
3,1127
3,1130
3,3966
4,518
4,1128
4,1129
6,525
6,526
7,525
7,526
4998,3084
4998,3085
4999,3084
4999,3086
4999,4687
4999,4688
5000,1793
5000,2528
5000,3085
5000,3086
5000,4686
5000,4688
5001,1792
5001,1794
5001,1863
5001,1864
5001,2527
5001,2529
5001,4687
5002,1793
5002,1863
5002,1864
5002,2528
